"","movie_id","director_id","director_name"
"416",21970,19032,"John Hough"
"417",3537,9168,"Alan Parker"
"418",14475,24,"Robert Zemeckis"
"419",130917,12698,"Bob Clark"
"420",23954,15389,"Louis Malle"
"421",11033,1150,"Brian De Palma"
"422",21866,190,"Clint Eastwood"
"423",16619,4135,"Robert Redford"
"424",11977,1524,"Harold Ramis"
"425",19267,57727,"Robert Clouse"
"426",8490,55264,"Jerrold Freedman"
"427",33155,554946,"William Sachs"
"428",92323,47773,"Paul Mazursky"
"429",2768,1035,"Paul Schrader"
"430",1955,5602,"David Lynch"
"431",21024,72427,"Alan Rudolph"
"432",5689,8876,"Randal Kleiser"
"433",16121,26959,"Samuel Fuller"
"434",267444,51373,"Larry Peerce"
"435",24825,57665,"Eric Karson"
"436",813,12936,"Jim Abrahams"
"437",813,3415,"Jerry Zucker"
"438",813,12987,"David Zucker"
"439",130724,3663,"Jerry Lewis"
"440",30924,95329,"Kevin Connor"
"441",113464,9855,"Terence Young"
"442",18254,6449,"Warren Beatty"
"443",26843,66203,"Moustapha Akkad"
"444",47871,19304,"John Schlesinger"
"445",17450,18378,"Herbert Ross"
"446",47941,54590,"Steve Rash"
"447",85,488,"Steven Spielberg"
"448",11286,67767,"Hal Needham"
"449",10540,37710,"Peter Hyams"
"450",11644,1150,"Brian De Palma"
"451",38665,12846,"William A. Fraker"
"452",14664,16475,"Burt Reynolds"
"453",10725,57885,"Michael Wadleigh"
"454",2989,29342,"Noel Marshall"
"455",11816,21958,"Mark Rydell"
"456",10627,23213,"Harold Becker"
"457",14900,55983,"Jim Henson"
"458",47890,13265,"Franklin J. Schaffner"
"459",19317,21377,"Peter Medak"
"460",10323,64823,"Desmond Davis"
"461",19429,2226,"Sydney Pollack"
"462",10948,107274,"Richard Rich"
"463",10948,67607,"Art Stevens"
"464",10948,67604,"Ted Berman"
"465",11027,19450,"Bob Rafelson"
"466",73247,83198,"Allan Arkush"
"467",31695,12840,"John Badham"
"468",109962,14674,"George Cukor"
"469",31361,109095,"Oz Scott"
"470",31361,77300,"Michael Schultz"
"471",10890,8858,"Ivan Reitman"
"472",23668,40549,"Daniel Petrie"
"473",814,4610,"John Landis"
"474",10156,14639,"Mel Brooks"
"475",17360,6593,"John Huston"
"476",36133,3146,"Billy Wilder"
"477",26444,9868,"Peter R. Hunt"
"478",74899,167786,"Ed Bianchi"
"479",11827,70616,"Gerald Potterton"
"480",11827,58338,"John Bruno"
"481",11827,70707,"John Halas"
"482",11827,2888351,"Julian Harris"
"483",11827,67268,"Jimmy T. Murakami"
"484",11827,1879400,"Barrie Nelson"
"485",11827,71852,"Paul Sabella"
"486",11827,1773189,"Jack Stokes"
"487",11827,57290,"Pino Van Lamsweerde"
"488",11827,1693752,"Harold Whitaker"
"489",14412,8844,"Lawrence Kasdan"
"490",54660,15452,"David Steinberg"
"491",32047,39996,"Sidney Lumet"
"492",19507,16513,"John G. Avildsen"
"493",31679,12804,"Peter Yates"
"494",21294,29646,"Charles Jarrott"
"495",16471,99339,"Ken Shapiro"
"496",13665,122944,"Steve Gordon"
"497",42149,1152,"Oliver Stone"
"498",1103,11770,"John Carpenter"
"499",53922,77300,"Michael Schultz"
"500",86285,37915,"David Greene"
"501",11524,638,"Michael Mann"
"502",10768,43513,"Graham Baker"
"503",15739,6593,"John Huston"
"504",23805,7187,"Richard Donner"
"505",78,578,"Ridley Scott"
"506",16363,4967,"Colin Higgins"
"507",41291,1776,"Francis Ford Coppola"
"508",783,4786,"Richard Attenborough"
"509",22023,32765,"Tony Richardson"
"510",9576,2226,"Sydney Pollack"
