"","movie_id","actor_id","actor_name","billing_order","character"
"194",46691,134768,"Dennis Patrick",1,"Bill Compton"
"195",46691,4038,"Susan Sarandon",2,"Melissa Compton"
"196",46691,1182966,"Patrick McDermott",3,"Frank Russo"
"197",46691,41729,"K Callan",4,"May Lou Curran"
"198",46691,1182967,"Tim Lewis",5,"Kid in Soda Shop"
"199",28733,82830,"Robert Quarry",0,"Count Yorga"
"200",28733,15707,"Roger Perry",1,"Dr. Jim Hayes"
"201",28733,4776,"Michael Murphy",2,"Paul"
"202",28733,101744,"Michael Macready",3,"Michael Thompson"
"203",28733,19878,"Donna Anderson",4,"Donna"
"204",28733,101746,"Judy Lang",5,"Erica Landers"
"205",28681,101619,"Edward Connell",0,"David Fielding"
"206",28681,101621,"Barbara Hewitt",1,"Susan Turner"
"207",28681,931246,"Jack Woods",2,"Asmodeus"
"208",28681,101620,"Frank Bonner",3,"Jim Hudson"
"209",28681,101622,"Robin Christopher",4,"Vicki"
"210",28681,1452162,"James Phillips",5,"Reporter Sloan"
"211",12335,14730,"Angela Lansbury",0,"Miss Price"
"212",12335,5825,"David Tomlinson",1,"Emelius"
"213",12335,7505,"Roddy McDowall",2,"Mr. Jelk"
"214",12335,10024,"Sam Jaffe",3,"Bookman"
"215",12335,41231,"John Ericson",4,"Col. Heller"
"216",12335,210620,"Bruce Forsyth",5,"Swinburne"
"217",14811,10501,"Chaim Topol",0,"Tevye"
"218",14811,129550,"Norma Crane",1,"Golde"
"219",14811,112253,"Leonard Frey",2,"Motel"
"220",14811,129551,"Molly Picon",3,"Yente"
"221",14811,1075028,"Paul Mann",4,"Lazar Wolf"
"222",14811,975522,"Rosalind Harris",5,"Tzeitel"
"223",10514,65505,"Arthur Hill",0,"Dr. Jeremy Stone"
"224",10514,14831,"David Wayne",1,"Dr. Charles Dutton"
"225",10514,65508,"James Olson",2,"Dr. Mark Hall"
"226",10514,39709,"Kate Reid",3,"Dr. Ruth Leavitt"
"227",10514,157439,"Paula Kelly",4,"Karen Anson"
"228",10514,30987,"George Mitchell",5,"Jackson"
"229",36492,514,"Jack Nicholson",0,"Jonathan"
"230",36492,11850,"Candice Bergen",1,"Susan"
"231",36492,64928,"Art Garfunkel",2,"Sandy"
"232",36492,13567,"Ann-Margret",3,"Bobbie"
"233",36492,13299,"Rita Moreno",4,"Louise"
"234",36492,1400215,"Cynthia O'Neal",5,"Cindy"
"235",21717,4165,"John Wayne",0,"Jacob McCandles"
"236",21717,16420,"Richard Boone",1,"John Fain"
"237",21717,70035,"Maureen O'Hara",2,"Martha McCandles"
"238",21717,30560,"Patrick Wayne",3,"James McCandles"
"239",21717,37251,"Christopher Mitchum",4,"Michael McCandles"
"240",21717,127313,"Bobby Vinton",5,"Jeff McCandles"
"241",984,190,"Clint Eastwood",0,"Harry"
"242",984,14785,"Harry Guardino",1,"Bressler"
"243",984,14784,"Reni Santoni",2,"Chico"
"244",984,17580,"John Vernon",3,"The Mayor"
"245",984,14782,"Andrew Robinson",4,"Killer"
"246",984,95564,"John Larch",5,"Chief"
"247",36850,6837,"Walter Matthau",0,"Henry Graham"
"248",36850,58251,"Elaine May",1,"Henrietta Lowell"
